Dx,Dz,method
0.1293004,0.38,natural-direction
0.17056827,0.38,natural-direction
0.25326234,0.38,natural-direction
0.20225728,0.38,natural-direction
0.19946927,0.43,natural-direction
0.2793866,0.43,natural-direction
0.15854402,0.43,natural-direction
0.15629482,0.43,natural-direction
0.20650315,0.43,natural-direction
0.29008886,0.43,natural-direction
0.17951487,0.43,natural-direction
0.23219894,0.43,natural-direction
0.18271916,0.43,natural-direction
0.13459046,0.43,natural-direction
0.30498737,0.43,natural-direction
0.31211072,0.43,natural-direction
0.25247958,0.43,natural-direction
0.16024776,0.43,natural-direction
0.18901882,0.43,natural-direction
0.27641857,0.43,natural-direction
0.23356861,0.43,natural-direction
0.12326269,0.43,natural-direction
0.2130357,0.43,natural-direction
0.21795212,0.43,natural-direction
0.24813579,0.43,natural-direction
0.18889648,0.43,natural-direction
0.38202196,0.43,natural-direction
0.19488905,0.43,natural-direction
0.1731302,0.43,natural-direction
0.26577598,0.43,natural-direction
0.15736426,0.43,natural-direction
0.12776859,0.43,natural-direction
0.2395722,0.43,natural-direction
0.15672725,0.43,natural-direction
0.3637079,0.43,natural-direction
0.23027006,0.43,natural-direction
0.1768142,0.43,natural-direction
0.24370539,0.43,natural-direction
0.11349689,0.43,natural-direction
0.2010408,0.43,natural-direction
0.5554366,0.43,natural-direction
0.15344334,0.43,natural-direction
0.23428729,0.43,natural-direction
0.20432767,0.43,natural-direction
0.18453956,0.43,natural-direction
0.23653576,0.43,natural-direction
0.1425668,0.43,natural-direction
0.22843684,0.43,natural-direction
0.20984013,0.43,natural-direction
0.2501479,0.43,natural-direction
0.29211265,0.43,natural-direction
0.2555577,0.43,natural-direction
0.21632028,0.43,natural-direction
0.21158385,0.43,natural-direction
0.15647994,0.43,natural-direction
0.15653434,0.43,natural-direction
0.1636122,0.43,natural-direction
0.22437826,0.43,natural-direction
0.21837796,0.43,natural-direction
0.28380936,0.43,natural-direction
0.1051963,0.43,natural-direction
0.20744245,0.43,natural-direction
0.34332043,0.43,natural-direction
0.24357116,0.43,natural-direction
0.17635366,0.43,natural-direction
0.28112596,0.43,natural-direction
0.45053586,0.43,natural-direction
0.6133735,0.43,natural-direction
0.14389767,0.43,natural-direction
0.27170047,0.43,natural-direction
0.114240184,0.43,natural-direction
0.61080486,0.43,natural-direction
0.2649978,0.43,natural-direction
